nation,instrument,description,hsnumber,link ,broadtype,minottype,specifictype
Thailand,Pin Pia,Chest-resonated stick zither with two to five strings,311,https://en.wikipedia.org/wiki/Pin_pia,Chordophone,Simple chordophones or zither,Bar zither
Trinidad and Tobago,Steelpan,"Barrel-shaped percussion instruments, tuned chromatically, originally made from discarded 55 gallon drums",111,https://en.wikipedia.org/wiki/Steelpan,Idiophone,Struck idiophone,Directly struck idiophone
Turkey,"Saz
","Fretted lute with a long neck, pear-shaped body, and three courses of seven steel strings",321,https://en.wikipedia.org/wiki/Baglama,Chordophone,Composite chordophone,Lute
Turkmenistan,Dutar,"Plucked string instrument with two strings and a long neck, strummed or plucked",321,https://en.wikipedia.org/wiki/Dutar,Chordophone,Composite chordophone,Lute
Uganda,Endongo,Bowl lyre made of lizardskin with strings tied to a piece of wood inserted into two holes on two arms,321,https://en.wikipedia.org/wiki/Endongo,Chordophone,Composite chordophone,Lute
Ukraine,Bandura,"Diatonic, unfretted lute-like string instrument, traditionally carved from a single block of wood",321,https://en.wikipedia.org/wiki/Bandura,Chordophone,Composite chordophone,Lute
United States,Banjo,"Membrane-topped four or five string fretted instrument, plucked or strummed with fingers or a plectrum.  Probably African American in origin.",321,https://en.wikipedia.org/wiki/Banjo,Chordophone,Composite chordophone,Lute
Uzbekistan,Doira,"Round, flat drum with shakers made of metal inside and a horse-skin head",211,https://en.wikipedia.org/wiki/Doira,Membranophone,Struck membranophone,Directly struck membranophone
Venezuela,Cuatro,"Guitar-like lute with four strings, usually strummed",321,https://en.wikipedia.org/wiki/Cuatro_(instrument),Chordophone,Composite chordophone,Lute
Vietnam,Đàn Bầu,,321,https://en.wikipedia.org/wiki/%C4%90%C3%A0n_b%E1%BA%A7u,Chordophone,Composite chordophone,Lute
Wales,Crwth,"Six-stringed instrument with a flat fingerboard, fretless",321,https://en.wikipedia.org/wiki/Crwth,Chordophone,Composite chordophone,Lute
Yugoslavia,Gusle,"Stringed instrument, round, typically with one string bound at the top of the neck with a tuning peg
Serbian gusle (help·info)",321,https://en.wikipedia.org/wiki/Gusle,Chordophone,Composite chordophone,Lute
Zimbabwe,"Mbira
","Plucked lamellophone, consisting of staggered keys attached to a board, with a halved calabash gourd as resonator",122,https://en.wikipedia.org/wiki/Mbira,Idiophone,Plucked idiophone,In the form of a comb
